uid,title,type,identifier,uri,tags,shortDescription,description,learningOutcomes
0x2fa,"LM10 - LEADERSHIP AND MANAGEMENT - BUILDING SELF AWARENESS",elearning,p14017_57025326d63ae_EN_01,https://csl-learning-content.s3.eu-west-2.amazonaws.com/0x2fa/index.htm,"for-review","","",""
0x262,"Responsible for information: general user",website,,,"profession:commercial,mandatory,department:cshr,grade:aa","For anyone who handles information and needs to share and protect it.","",""
0x264,"Health and safety awareness for all staff",website,,,"profession:commercial,mandatory,department:cshr,grade:aa","Everyone needs to be able to identify, manage and control health and safety risks in the workplace.","",""
0x265,"Disability awareness",website,,,"profession:commercial,mandatory,department:cshr,grade:aa","Gives you the knowledge to recognise different types of disability and the confidence to respond to the needs of disabled colleagues.","",""
0x266,"Equality and diversity essentials",website,,,"profession:commercial,mandatory,department:cshr,grade:aa","An introduction to workplace diversity and an overview of equality legislation.","",""
0x267,"Basic fire awareness for all staff",website,,,"profession:commercial,mandatory,department:cshr,grade:aa","This course provides a basic knowledge of fire prevention in the office and the dangers of fire.","",""
0x268,"Early market engagement",website,,,"profession:commercial,resource,department:cshr,grade:aa","Information and guidance pack covers the course aims and outcomes, as well as costs and the cancellation policy.","",""
0x269,"Operating strategically",website,,,"profession:commercial,department:cshr,grade:g7,grade:aa","Helps you take a wider perspective on your work - developing your ability to see the bigger picture, to put your own work in context and to see the interconnections","",""
0x26a,"Lean sourcing",website,,,"profession:commercial,department:cshr,grade:g7,grade:aa,grade:heo,grade:eo","Reduces unnecessary complexity and wasteful procurement, by providing faster procurement that costs less to the taxpayer.","",""
0x26b,"Commercial cycle 4: contract management",website,,,"profession:commercial,department:cshr,grade:g6,grade:aa","There’s more to the commercial process than simply finding the right supplier and having an appropriate contract in place.","",""
0x26c,"Going Agile: The new mind-set for procurement officials",website,,https://www2.deloitte.com/insights/us/en/industry/public-sector/agile-in-government-procurement-mindset.html,"blog post","​Contracting for Agile software development should focus on enabling a smooth vendor-client relationship rather than on specifying terms and conditions in exhaustive detail.","",""
0x26d,"Let's talk about public procurement.",website,,https://www.linkedin.com/pulse/lets-talk-public-procurement-james-findlay/,"LinkedIn,blog post","","",""
0x26e,"Agile P1.0",website,,https://www.eventbrite.co.uk/e/agile-p10-tickets-41337414319,"Conference","This is the first Difrent Group sponsored Unconference in the newly refurbished conference facilities at National Archives, Kew on 5th March 2018.","",""
0x26f,"Lessons Learned From ""Search"" Procurement",website,,https://github.com/AlaskaDHSS/EIS-Modernization/blob/master/vendor-info/retrospective-on-buy-1.md,"Blog post,Github","One of the goals of an agile organization is to continuously improve, by reflecting on what's happened at the end of an iteration","",""
0x270,"Aligning Suppliers: Insight from a former Mars CPO",website,,http://blog.vizibl.co/aligning-suppliers-insight-from-a-former-mars-cpo/?utm_content=65697372&utm_medium=social&utm_source=twitter,"Blog post","Whenever the team at OSL talk to businesses about Supplier Collaboration and Innovation (SC&I), one key theme always comes through. The challenge of linking procurement activity directly to business objectives.","",""
0x271,"Overview of the Thomas-Kilmann Conflict Mode Instrument (TKI)",website,,http://www.kilmanndiagnostics.com/overview-thomas-kilmann-conflict-mode-instrument-tki,"CIPS","","",""
0x272,"IS THE CPO AND CATEGORY MANAGEMENT DEAD?",website,,https://procurementstories.com/2017/03/24/is-the-cpo-and-category-management-dead/?utm_content=60894668&utm_medium=social&utm_source=twitter,"Blog post","","",""
